Configuration,Best Result,Average Best,Worst Result,Average Mean,Runs,Best Vector,Best Time
cec2014_f5_001d64e9,0.001912210134512968,0.0019128332350752425,0.0019139980573210323,0.0019128332350752425,10,"[-24.784313725490193, -53.01960784313725, -74.3529411764706, -57.41176470588235, 39.21568627450981, -51.13725490196079, -14.74509803921569, -63.05882352941177, 46.117647058823536, -56.15686274509804]",1.6740190982818604
cec2014_f5_013aea4a,0.0019185570446803464,0.0019314967016480198,0.0019843977256615124,0.001926365298158067,10,"[42.352941176470594, -45.490196078431374, 20.392156862745097, 51.13725490196077, 36.705882352941174, 35.450980392156865, -74.98039215686275, 67.45098039215685, -45.490196078431374, -34.19607843137255]",16.84604287147522
cec2014_f5_05b5671e,0.0019174511277260812,0.0019182026491914085,0.0019186658327766143,0.0019162582393817996,10,"[-77.49019607843137, -67.45098039215686, 23.529411764705884, 37.33333333333333, -49.88235294117647, 61.176470588235304, 34.196078431372555, 52.39215686274511, 56.15686274509804, 67.45098039215685]",1.623840093612671
cec2014_f5_078c9070,0.0019187338714646016,0.001932124773796301,0.0019851111342056678,0.001925768003491987,10,"[24.15686274509804, 32.31372549019608, 4.078431372549019, -64.94117647058823, 12.862745098039213, 19.137254901960787, 71.84313725490196, 20.392156862745097, 25.411764705882348, -53.01960784313725]",17.067732095718384
cec2014_f5_0a154613,0.0019131874813038798,0.0019140159658091686,0.001914673718932844,0.001913427456505851,10,"[34.82352941176471, -54.90196078431373, 16.0, 19.137254901960787, 49.882352941176464, 17.882352941176464, 72.47058823529412, -39.84313725490196, -28.549019607843135, 22.90196078431373]",1.7124049663543701
cec2014_f5_10083ca7,0.0019184456721340688,0.0019188691361631902,0.0019190871387470873,0.0019175761682483662,10,"[-40.470588235294116, -7.843137254901961, 50.50980392156862, -41.72549019607843, 24.784313725490193, -22.274509803921568, 51.13725490196077, 54.90196078431373, -29.80392156862745, 9.725490196078425]",16.91933584213257
cec2014_f5_1747bd75,0.001911827074822691,0.001912928125105118,0.001914228610542509,0.0019125715474263248,10,"[-53.01960784313725, 19.764705882352942, 58.66666666666666, 38.58823529411765, -51.76470588235294, -46.11764705882353, 23.529411764705884, 67.45098039215685, -57.41176470588235, -3.4509803921568647]",1.6764130592346191
cec2014_f5_20908c43,0.0019182991298275884,0.0019228383967074432,0.001959574388000792,0.0019204741082112502,10,"[-22.901960784313722, 26.039215686274517, 32.31372549019608, -42.98039215686274, -55.529411764705884, 9.09803921568627, -19.137254901960787, -32.94117647058823, 72.47058823529412, -44.23529411764706]",16.88289189338684
cec2014_f5_2507d71d,0.0019129570297774956,0.0019145087001219442,0.001917251408638621,0.0019131609032931158,10,"[-63.05882352941177, 48.627450980392155, 28.549019607843135, -2.82352941176471, 53.64705882352942, -27.92156862745098, 22.274509803921575, 38.58823529411765, -16.627450980392155, 56.15686274509804]",17.718332290649414
cec2014_f5_2e692987,0.0019125131879491769,0.0019132915187052703,0.0019149077941470313,0.0019132915187052703,10,"[-37.96078431372549, -19.137254901960787, 63.68627450980392, -19.137254901960787, -72.47058823529412, 2.1960784313725554, 15.372549019607845, -74.3529411764706, -64.31372549019608, 47.372549019607845]",17.40917205810547
